"iyear","imonth","iday","country","country_txt","region","region_txt","provstate","crit1","crit2","crit3","multiple","success","suicide","attacktype1","attacktype1_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","gname","motive","individual","nperps","claimed","weaptype1","weaptype1_txt","nkill","nwound","INT_LOG","INT_IDEO"
2001,9,21,217,"United States",1,"North America","Texas",1,1,1,0,1,0,2,"Armed Assault",1,"Business",7,"Retail/Grocery/Bakery","White supremacists/nationalists","Stroman carried out this attack and two others because he believed his victims to be Middle Eastern and that he was acting in retaliation for the recent al Qa'ida attacks on September 11, 2001.",1,1,1,5,"Firearms",0,1,-9,-9
2001,10,2,217,"United States",1,"North America","Florida",1,1,1,1,1,0,8,"Unarmed Assault",10,"Journalists & Media",53,"Newspaper Journalist/Staff/Facility","Unknown","Unknown",1,,0,1,"Biological",1,5,-9,-9
2001,10,4,217,"United States",1,"North America","Texas",1,1,1,0,1,0,2,"Armed Assault",1,"Business",7,"Retail/Grocery/Bakery","White supremacists/nationalists","Stroman carried out this attack and two others because he believed his victims to be Middle Eastern and that he was acting in retaliation for the recent al Qa'ida attacks on September 11, 2001.",1,1,1,5,"Firearms",1,0,-9,-9
2001,10,9,217,"United States",1,"North America","District of Columbia",1,1,1,1,1,0,8,"Unarmed Assault",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Unknown","Unknown",1,,0,1,"Biological",2,1,-9,-9
2001,10,12,217,"United States",1,"North America","New York",1,1,1,1,1,0,8,"Unarmed Assault",10,"Journalists & Media",53,"Newspaper Journalist/Staff/Facility","Unknown","Unknown",1,,0,1,"Biological",0,6,-9,-9
2001,10,15,217,"United States",1,"North America","District of Columbia",1,1,1,1,1,0,8,"Unarmed Assault",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Unknown","Unknown",1,,0,1,"Biological",2,6,-9,-9
2001,10,15,217,"United States",1,"North America","New York",1,1,1,1,1,0,8,"Unarmed Assault",10,"Journalists & Media",53,"Newspaper Journalist/Staff/Facility","Unknown","Unknown",1,,0,1,"Biological",0,1,-9,-9
2001,10,18,217,"United States",1,"North America","New York",1,1,1,1,1,0,8,"Unarmed Assault",10,"Journalists & Media",53,"Newspaper Journalist/Staff/Facility","Unknown","Unknown",1,,0,1,"Biological",0,1,-9,-9
2001,10,19,217,"United States",1,"North America","New York",1,1,1,0,1,0,8,"Unarmed Assault",10,"Journalists & Media",53,"Newspaper Journalist/Staff/Facility","Unknown","Unknown",1,,0,1,"Biological",0,2,-9,-9
2001,10,26,217,"United States",1,"North America","District of Columbia",1,1,1,1,1,0,8,"Unarmed Assault",2,"Government (General)",14,"Judge/Attorney/Court","Unknown","Unknown",1,,0,1,"Biological",0,,-9,-9
2001,10,29,217,"United States",1,"North America","New York",1,1,1,1,1,0,8,"Unarmed Assault",1,"Business",6,"Medical/Pharmaceutical","Unknown","Unknown",1,,0,1,"Biological",1,0,-9,-9
2001,11,7,164,"Qatar",10,"Middle East & North Africa","Ar Rayyan",1,1,1,0,1,0,2,"Armed Assault",4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","Unknown","Unknown",1,1,0,5,"Firearms",1,0,-9,-9
2001,11,14,217,"United States",1,"North America","Connecticut",1,1,1,0,1,0,8,"Unarmed Assault",14,"Private Citizens & Property",68,"Named Civilian","Unknown","Unknown",1,,0,1,"Biological",1,0,-9,-9
2002,1,5,217,"United States",1,"North America","Florida",1,1,1,0,1,1,4,"Hijacking",1,"Business",3,"Bank/Commerce","Jihadi-inspired extremists","In a suicide note written by Charles Bishop, he states: First of all, Osama bin Laden is absolutely justified in the terror he has caused on 9-11. He has brought a mighty nation to its knees! God blesses him and the others who helped make September 11 happen, The U.S. will have to face the consequences for its horrific actions against the Palestinian people and Iraqis by its allegiance with the monstrous Israelis who want nothing short of world domination. You will pay God help you and I will (underlined) make you pay.  There will be more coming! Al Qaeda and other organizations have met with me several times to discuss the option of me joining. I didn't.  This is an operation done by me only. I had no other help, although I am acting on their behalf.  Osama bin Laden is planning on blowing up the Super Bowl with an antiquated nuclear bomb left over from the 1967 Israeli-Syrian war.",1,1,1,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",1,0,-9,-9
2002,7,4,217,"United States",1,"North America","California",1,1,1,0,1,0,2,"Armed Assault",6,"Airports & Aircraft",44,"Airport","Anti-Israeli extremists","The perpetrator espoused anti-Israeli views.",1,1,0,5,"Firearms",3,4,-9,-9
2002,5,3,217,"United States",1,"North America","Iowa",1,1,1,1,1,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,1,-9,-9
2002,5,3,217,"United States",1,"North America","Iowa",1,1,1,1,1,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,1,-9,-9
2002,5,3,217,"United States",1,"North America","Iowa",1,1,1,1,1,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,1,-9,-9
2002,5,3,217,"United States",1,"North America","Indiana",1,1,1,1,1,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,1,-9,-9
2002,5,3,217,"United States",1,"North America","Iowa",1,1,1,1,1,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,1,-9,-9
2002,5,3,217,"United States",1,"North America","Illinois",1,1,1,1,1,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,1,-9,-9
2002,5,3,217,"United States",1,"North America","Illinois",1,1,1,1,1,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,1,-9,-9
2002,5,3,217,"United States",1,"North America","Illinois",1,1,1,1,1,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,0,-9,-9
2002,5,4,217,"United States",1,"North America","Nebraska",1,1,1,1,0,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,0,-9,-9
2002,5,4,217,"United States",1,"North America","Nebraska",1,1,1,1,0,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,0,-9,-9
2002,5,4,217,"United States",1,"North America","Nebraska",1,1,1,1,0,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,0,-9,-9
2002,5,4,217,"United States",1,"North America","Nebraska",1,1,1,1,0,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,0,-9,-9
2002,5,4,217,"United States",1,"North America","Nebraska",1,1,1,1,0,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,0,-9,-9
2002,5,4,217,"United States",1,"North America","Nebraska",1,1,1,1,0,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,0,-9,-9
2002,5,4,217,"United States",1,"North America","Nebraska",1,1,1,1,0,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,0,-9,-9
2002,5,6,217,"United States",1,"North America","Colorado",1,1,1,1,0,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,0,-9,-9
2002,5,6,217,"United States",1,"North America","Colorado",1,1,1,1,0,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,0,-9,-9
2002,5,7,217,"United States",1,"North America","Texas",1,1,1,1,0,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Anti-Government extremists","The attacks were meant to bring attention to the perpetrator's antigovernment sentiment.",1,1,1,6,"Explosives",0,0,-9,-9
2002,5,13,217,"United States",1,"North America","Pennsylvania",1,1,1,0,0,0,3,"Bombing/Explosion",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Jihadi-inspired extremists","The perpetrator wanted to show support for Palestinians and for Al-Qaida.",1,1,0,6,"Explosives",0,0,-9,-9
2002,9,9,92,"India",6,"South Asia","Maharashtra",1,1,1,0,0,0,4,"Hijacking",6,"Airports & Aircraft",42,"Aircraft (not at an airport)","Unknown","The hijacker stated that he wanted to be taken to a different location, but the reason for this demand is unknown.",1,2,1,9,"Melee",0,1,-9,-9
2002,10,3,217,"United States",1,"North America","New York",1,1,1,0,1,0,2,"Armed Assault",7,"Government (Diplomatic)",47,"International Organization (peacekeeper, aid agency, compound)","Anti-Kim Jong-il extremists","To highlight the oppression of daily life in North Korea and to call on the United Nations to end the Kim Jung-Il regime",1,1,0,5,"Firearms",0,0,-9,-9
2002,11,17,97,"Israel",10,"Middle East & North Africa","Tel Aviv",1,1,1,0,0,0,4,"Hijacking",6,"Airports & Aircraft",42,"Aircraft (not at an airport)","Unknown","Unknown",1,1,0,9,"Melee",0,0,-9,-9
2002,12,13,78,"Greece",8,"Western Europe","Attica",1,1,1,0,0,0,1,"Assassination",2,"Government (General)",18,"Government Personnel (excluding police, military)","Unknown","Unknown",1,1,0,5,"Firearms",0,2,-9,-9
2003,2,7,209,"Turkey",10,"Middle East & North Africa","Istanbul",1,1,1,0,1,0,4,"Hijacking",6,"Airports & Aircraft",42,"Aircraft (not at an airport)","Unknown","Urbak was intoxicated when he stated his motivations for the incident, but claimed to have acted to denounce any U.S. military action against Iraq and to see his girlfriend in Moscow.",1,1,0,7,"Fake Weapons",0,0,-9,-9
2003,2,10,181,"Solomon Islands",12,"Australasia & Oceania","Malaita",1,1,1,0,1,0,1,"Assassination",3,"Police",25,"Police Security Forces/Officers","Unknown","Unknown",1,1,0,5,"Firearms",1,0,-9,-9
2003,3,17,217,"United States",1,"North America","District of Columbia",1,1,1,0,0,0,3,"Bombing/Explosion",2,"Government (General)",21,"Government Building/Facility/Office","Unknown","To bring nationwide attention to how the tobacco policies of the United States government were unfair to the tobacco farmer",1,1,0,7,"Fake Weapons",0,0,-9,-9
2003,3,18,228,"Yemen",10,"Middle East & North Africa","Marib",1,1,1,0,1,0,2,"Armed Assault",14,"Private Citizens & Property",77,"Laborer (General)/Occupation Identified","Unknown","Unknown",1,1,0,5,"Firearms",3,1,-9,-9
2003,3,30,106,"Kuwait",10,"Middle East & North Africa","Jahra",1,1,1,0,1,0,8,"Unarmed Assault",4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","Egyptians","Lutfi al-Barbari said he tried to kill the soldiers to keep them from killing innocent people in Iraq.",1,1,1,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",0,16,1,1
2003,3,31,217,"United States",1,"North America","California",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","Muslim extremists","Allegedly due to being oppressed as a Muslim in America",1,1,0,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",0,0,-9,-9
2003,4,28,75,"Germany",8,"Western Europe","Berlin",0,1,1,0,1,0,6,"Hostage Taking (Kidnapping)",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Unknown","Unknown",1,1,0,9,"Melee",0,0,-9,-9
2003,10,15,217,"United States",1,"North America","South Carolina",1,1,1,0,0,0,8,"Unarmed Assault",2,"Government (General)",21,"Government Building/Facility/Office","Unknown","One of the perpetrator's complaints was with the government's inability to pass pending federal trucking legislation.",1,1,1,1,"Biological",0,0,-9,-9
2003,11,12,217,"United States",1,"North America","District of Columbia",1,1,1,0,0,0,8,"Unarmed Assault",2,"Government (General)",17,"Head of State","Unknown","One of the perpetrator's complaints was with the government's inability to pass pending federal trucking legislation.",1,1,1,1,"Biological",0,0,-9,-9
2004,3,28,98,"Italy",8,"Western Europe","Lombardy",1,1,1,0,1,1,3,"Bombing/Explosion",1,"Business",4,"Multinational Corporation","Moroccan extremists","Unknown",1,1,0,6,"Explosives",1,0,1,1
2004,4,1,217,"United States",1,"North America","Oklahoma",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",15,"Religious Figures/Institutions",86,"Place of Worship","White supremacists/nationalists","Sean Gillespie hoped that his actions would initiate a race war that would incite others to attack Jews.",1,1,0,8,"Incendiary",0,0,-9,-9
2006,3,3,217,"United States",1,"North America","North Carolina",1,1,1,0,1,0,8,"Unarmed Assault",14,"Private Citizens & Property",70,"Student","Muslim extremists","Mohammed Reza Taheri-azar wanted to hurt people in order to avenge the deaths of Muslims around the world.",1,1,1,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",0,9,-9,-9
2006,4,14,60,"Egypt",10,"Middle East & North Africa","Alexandria",1,1,1,1,1,0,2,"Armed Assault",15,"Religious Figures/Institutions",86,"Place of Worship","Unknown","Unknown",1,1,0,9,"Melee",0,3,-9,-9
2006,4,14,60,"Egypt",10,"Middle East & North Africa","Alexandria",1,1,1,1,1,0,2,"Armed Assault",15,"Religious Figures/Institutions",86,"Place of Worship","Unknown","Unknown",1,1,0,9,"Melee",1,2,-9,-9
2006,4,14,60,"Egypt",10,"Middle East & North Africa","Alexandria",1,1,1,1,0,0,2,"Armed Assault",15,"Religious Figures/Institutions",86,"Place of Worship","Unknown","Unknown",1,1,0,9,"Melee",0,0,-9,-9
2006,5,17,209,"Turkey",10,"Middle East & North Africa","Ankara",1,1,1,0,1,0,2,"Armed Assault",2,"Government (General)",14,"Judge/Attorney/Court","Unknown","Unknown",1,,1,5,"Firearms",1,4,-9,-9
2006,5,20,184,"South Korea",4,"East Asia","Seoul",1,1,1,0,1,0,2,"Armed Assault",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Unknown","To 'save democracy.'",1,1,0,9,"Melee",0,1,-9,-9
2006,7,28,217,"United States",1,"North America","Washington",1,1,1,0,1,0,2,"Armed Assault",1,"Business",,,"Anti-Semitic extremists","Upon entering the building, Naveed Afzal Haq stated, I'm Muslim American.  I'm angry at Israel.  He also stated to a 911 dispatcher that, These are Jews and I'm tired of getting pushed around and our people getting pushed around by the situation in the Middle East.",1,1,1,5,"Firearms",1,5,-9,-9
2006,9,11,217,"United States",1,"North America","Iowa",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",1,"Business",6,"Medical/Pharmaceutical","Anti-Abortion extremists","McMenemy mistakenly thought that this facility performed abortions.",1,1,1,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",0,0,-9,-9
2006,9,17,151,"Norway",8,"Western Europe","Oslo",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",15,"Religious Figures/Institutions",86,"Place of Worship","Anti-Semitic extremists","Unknown",1,1,0,5,"Firearms",0,0,-9,-9
2007,4,25,217,"United States",1,"North America","Texas",1,1,1,0,0,0,3,"Bombing/Explosion",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists","It is believed target was selected because it provides reproductive health services.",1,1,0,6,"Explosives",0,0,-9,-9
2007,8,14,136,"Morocco",10,"Middle East & North Africa","Meknes-Tafilalet",1,1,1,0,1,1,3,"Bombing/Explosion",18,"Tourists",96,"Tour Bus/Van","Unknown","Unknown",1,,0,6,"Explosives",1,,-9,-9
2007,11,7,68,"Finland",8,"Western Europe","Uusimaa",1,1,1,0,1,1,2,"Armed Assault",8,"Educational Institution",49,"School/University/Educational Building","Neo-Fascist extremists","According to news sources, the perpetrator posted videos on YouTube shortly before the shooting outlining his intentions, which included the elimination of disgraces of human race and failures of natural selection.  However, many believe that the specific goal was to carry out a copy-cat shooting of the Virginia Tech Shooting in April 2007.",1,1,1,5,"Firearms",9,13,-9,-9
2008,3,5,44,"China",4,"East Asia","Shaanxi",1,1,1,0,1,1,4,"Hijacking",18,"Tourists",97,"Tourist","Unknown","Unclear.",1,1,1,6,"Explosives",1,0,-9,-9
2008,5,26,217,"United States",1,"North America","Oregon",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",14,"Private Citizens & Property",76,"House/Apartment/Residence","Ku Klux Klan","The specific motive for the attack is unknown.",1,3,0,8,"Incendiary",0,0,0,0
2008,7,27,217,"United States",1,"North America","Tennessee",1,1,1,0,1,0,2,"Armed Assault",15,"Religious Figures/Institutions",86,"Place of Worship","Anti-Liberal extremists","The specific motive for the attack is unknown.",1,1,0,5,"Firearms",2,7,-9,-9
2008,10,13,101,"Japan",4,"East Asia","Shikoku",1,1,1,0,1,0,3,"Bombing/Explosion",15,"Religious Figures/Institutions",87,"Affiliated Institution","Unknown","The specific motive for the attack is unknown.",1,1,1,6,"Explosives",0,0,-9,-9
2009,5,31,217,"United States",1,"North America","Kansas",1,1,1,0,1,0,2,"Armed Assault",5,"Abortion Related",41,"Personnel","Anti-Abortion extremists","The specific motive for the attack is due to the target being an abortion doctor.",1,1,0,5,"Firearms",1,0,-9,-9
2009,6,1,217,"United States",1,"North America","Arkansas",1,1,1,1,1,0,2,"Armed Assault",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Jihadi-inspired extremists","The assailant stated that the attack was in retribution for the death of Muslims at the hands of United States military",1,1,1,5,"Firearms",1,1,-9,-9
2009,6,10,217,"United States",1,"North America","District of Columbia",1,1,1,0,1,0,2,"Armed Assault",1,"Business",,,"Anti-Semitic extremists","The specific motive for the attack is unknown.",1,1,0,5,"Firearms",1,,-9,-9
2009,8,4,217,"United States",1,"North America","Pennsylvania",1,1,1,0,1,1,2,"Armed Assault",1,"Business",11,"Entertainment/Cultural/Stadium/Casino","Incel extremists","The specific motive is unclear, but Sodini targeted women and believed they had rejected him.",1,1,1,5,"Firearms",4,9,-9,-9
2009,11,5,217,"United States",1,"North America","Texas",1,1,0,0,1,0,2,"Armed Assault",4,"Military",27,"Military Barracks/Base/Headquarters/Checkpost","Jihadi-inspired extremists","The specific motive for the attack is unknown.",1,1,0,5,"Firearms",13,32,-9,-9
2010,2,18,217,"United States",1,"North America","Texas",1,1,1,0,1,1,7,"Facility/Infrastructure Attack",2,"Government (General)",21,"Government Building/Facility/Office","Anti-Government extremists","The specific motive for the attack is unknown.",1,1,0,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",2,15,-9,-9
2010,2,25,217,"United States",1,"North America","New York",1,1,1,0,0,0,3,"Bombing/Explosion",19,"Transportation",100,"Train/Train Tracks/Trolley","Unknown","The specific motive for the attack is unknown.",1,1,0,6,"Explosives",0,0,-9,-9
2010,3,4,217,"United States",1,"North America","Virginia",1,1,1,0,1,0,2,"Armed Assault",2,"Government (General)",21,"Government Building/Facility/Office","Anti-Government extremists","The specific motive is unknown; however, Bedell had a number of postings and videos on the internet in which he criticized government policies in many different areas and discussed various conspiracy theories.  He made no statement before, or at the time of, the shooting to indicate his exact motivation.",1,1,1,5,"Firearms",1,2,-9,-9
2010,5,14,603,"United Kingdom",8,"Western Europe","England",1,1,1,0,0,0,1,"Assassination",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Jihadi-inspired extremists","Roshonara Choudhry indicated that she attempted to assassinate Mr. Timms in retaliation for the Iraq war.",1,1,1,9,"Melee",0,1,-9,-9
2010,5,16,203,"Tanzania",11,"Sub-Saharan Africa","Dar es Salaam",1,1,1,0,0,0,7,"Facility/Infrastructure Attack",7,"Government (Diplomatic)",46,"Embassy/Consulate","Anti-United States extremists","The specific motive for the attack is unknown.",1,1,0,8,"Incendiary",0,0,-9,-9
2010,9,1,217,"United States",1,"North America","Maryland",1,1,1,0,1,1,5,"Hostage Taking (Barricade Incident)",10,"Journalists & Media",55,"Television Journalist/Staff/Facility","Unknown","Lee opposed the programming of the Discovery channel, which he felt promoted overpopulation. Instead, he felt that the program should showcase more shows on infertility and sterilization to curb the growth of the human population. Additionally, he felt that shows did little in the way of promoting ways to save the planet.",1,1,0,6,"Explosives",1,0,-9,-9
2010,10,0,217,"United States",1,"North America","Virginia",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",12,"NGO",61,"Domestic NGO","Jihadi-inspired extremists","Specific motive is unknown, but the assailant was fascinated with Al-Qa ida and was video-taped stating Allahu Akbar'' (God is great) while shooting at the museum",1,1,0,5,"Firearms",0,0,-9,-9
2010,10,0,217,"United States",1,"North America","Virginia",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",12,"NGO",61,"Domestic NGO","Jihadi-inspired extremists","Specific motive is unknown, but the assailant was fascinated with Al-Qa ida and was video-taped stating Allahu Akbar'' (God is great) while shooting at the museum",1,1,0,5,"Firearms",0,0,-9,-9
2010,10,19,217,"United States",1,"North America","Virginia",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",2,"Government (General)",21,"Government Building/Facility/Office","Jihadi-inspired extremists","Specific motive is unknown, but the assailant was fascinated with Al-Qa ida and was video-taped stating Allahu Akbar'' (God is great) while shooting at a military facility",1,1,0,5,"Firearms",0,0,-9,-9
2010,10,19,161,"Poland",9,"Eastern Europe","Lodz",1,1,1,0,1,0,2,"Armed Assault",2,"Government (General)",15,"Politician or Political Party Movement/Meeting/Rally","Anti-Government extremists","Cyba claimed that he wanted to kill Jaroslaw Kaczynski, leader of the party, in Warsaw. However, he was unable to do so because of security and instead targeted the Lodz office.",1,1,1,5,"Firearms",1,1,-9,-9
2010,10,25,217,"United States",1,"North America","Virginia",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",4,"Military",28,"Military Recruiting Station/Academy","Jihadi-inspired extremists","Specific motive is unknown, but the assailant was fascinated with Al-Qa ida and was video-taped stating Allahu Akbar'' (God is great) while shooting at a military facility",1,1,0,5,"Firearms",0,0,-9,-9
2010,11,0,217,"United States",1,"North America","Virginia",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",4,"Military",28,"Military Recruiting Station/Academy","Jihadi-inspired extremists","Specific motive is unknown, but the assailant was fascinated with Al-Qa ida and was video-taped stating Allahu Akbar'' (God is great) while shooting at a military facility",1,1,0,5,"Firearms",0,0,-9,-9
2011,1,5,151,"Norway",8,"Western Europe","Akershus",0,1,1,0,0,0,4,"Hijacking",6,"Airports & Aircraft",42,"Aircraft (not at an airport)","Turkish radicals","The specific motive for the attack is unknown.",1,1,0,7,"Fake Weapons",0,0,1,0
2011,3,2,75,"Germany",8,"Western Europe","Hesse",1,1,0,0,1,0,2,"Armed Assault",4,"Military",34,"Military Personnel (soldiers, troops, officers, forces)","Jihadi-inspired extremists","Before shooting the airmen, Uka asked if they were bound for Afghanistan and was told that they were. He reportedly shouted 'Allahu akbar' during the attack and claimed afterward that he was contributing to holy war. Uka was reportedly radicalized to use violence after watching jihadist propaganda videos online in the days before the attack, though he has since expressed regret for his actions.",1,1,1,5,"Firearms",2,2,-9,-9
2011,7,22,151,"Norway",8,"Western Europe","Buskerud",1,1,1,1,1,0,2,"Armed Assault",14,"Private Citizens & Property",67,"Unnamed Civilian/Unspecified","Right-wing extremists","The specific motive for the attack was Anders Breivik’s belief that Labor Party is Marxist-oriented and encourages multiculturalism.",1,1,1,5,"Firearms",69,60,-9,-9
2011,7,22,151,"Norway",8,"Western Europe","Oslo",1,1,1,1,1,0,3,"Bombing/Explosion",2,"Government (General)",21,"Government Building/Facility/Office","Right-wing extremists","The specific motive for the attack was Anders Breivik’s belief that Labor Party is Marxist-oriented and encourages multiculturalism.",1,1,1,6,"Explosives",8,15,-9,-9
2011,11,11,217,"United States",1,"North America","District of Columbia",1,1,1,0,0,0,2,"Armed Assault",2,"Government (General)",21,"Government Building/Facility/Office","Anti-Government extremists","The perpetrator was motivated by anti-government sentiment.",1,-99,0,5,"Firearms",0,0,-9,-9
2012,1,1,217,"United States",1,"North America","Florida",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",5,"Abortion Related",40,"Clinics","Anti-Abortion extremists","An individual, identified as Bobby Joe Rogers, claimed responsibility for the incident and stated that he carried out the attack due to his anti-abortion beliefs.",1,1,1,8,"Incendiary",0,0,-9,-9
2012,1,1,217,"United States",1,"North America","New York",0,1,1,1,1,0,7,"Facility/Infrastructure Attack",15,"Religious Figures/Institutions",86,"Place of Worship","Anti-Muslim extremists","The specific motive is unknown; however, police were investigating the series of four attacks in New York City as hate crimes.",1,-99,1,8,"Incendiary",0,0,-9,-9
2012,1,1,217,"United States",1,"North America","New York",0,1,1,1,1,0,7,"Facility/Infrastructure Attack",15,"Religious Figures/Institutions",85,"Religious Figure","Anti-Muslim extremists","The specific motive is unknown; however, police were investigating the series of four attacks in New York City as hate crimes.",1,-99,1,8,"Incendiary",0,0,-9,-9
2012,1,1,217,"United States",1,"North America","New York",0,1,1,1,1,0,7,"Facility/Infrastructure Attack",14,"Private Citizens & Property",76,"House/Apartment/Residence","Anti-Muslim extremists","The specific motive is unknown; however, police were investigating the series of four attacks in New York City as hate crimes.",1,-99,1,8,"Incendiary",0,0,-9,-9
2012,1,1,217,"United States",1,"North America","New York",0,1,1,1,1,0,7,"Facility/Infrastructure Attack",1,"Business",7,"Retail/Grocery/Bakery","Anti-Muslim extremists","The specific motive is unknown; however, police were investigating the series of four attacks in New York City as hate crimes.",1,-99,1,8,"Incendiary",0,0,-9,-9
2012,1,3,217,"United States",1,"North America","New Jersey",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",15,"Religious Figures/Institutions",86,"Place of Worship","Anti-Semitic extremists",,1,1,0,8,"Incendiary",0,0,-9,-9
2012,1,8,217,"United States",1,"North America","Alabama",1,1,1,0,1,0,2,"Armed Assault",1,"Business",7,"Retail/Grocery/Bakery","Muslim extremists","An unaffiliated individual, identified as Luis Ibarra-Hernandez, claimed responsibility for the incident and stated that he carried out the attack in order to draw attention to Islam.",1,1,1,5,"Firearms",0,0,-9,-9
2012,1,11,217,"United States",1,"North America","New Jersey",1,1,1,0,1,0,7,"Facility/Infrastructure Attack",15,"Religious Figures/Institutions",86,"Place of Worship","Anti-Semitic extremists",,1,2,0,8,"Incendiary",0,1,-9,-9
